form_name,yaml_name,line_on_form,description_on_form,prep_data_classification
Form 1040,refundAmt,35a,Amount of line 34 you want refunded to you if Form 8888 is attached,calculated values
Form 1040,appliedToEsTaxAmt,36,Amount applied,direct user inputs
Form 1040,owedAmt,37,Amount owed,calculated values
Form 1040,estPenaltyAmt,38,Estimated tax penalty,direct user inputs
Schedule 1,stateLocalIncomeTaxRefundAmt,Part I Line 1,"Taxable refunds, credits, or offsets of state and local income taxes (Taxable state/local refund (taxpayer))",direct user inputs
Schedule 1,totalAlimonyReceivedAmt,Part I Line 2a,Alimony received (Alimony received (taxpayer)),direct user inputs
Schedule 1,divorceOrSeparationAgreementDtReceived,Part I Line 2b,Date of divorce,direct user inputs
Schedule 1,businessIncomeLossAmt,Part I Line 3,Business income or loss (Business income or loss (Schedule C net)),calculated values
Schedule 1,otherGainLossAmt,Part I Line 4,Other gains or losses,indirect user inputs
Schedule 1,rentalRealEstateIncomeLossAmt,Part I Line 5,"Rental real estate, royalties, partnerships, S corporations, trusts (Rental real estate royalties S corps)",calculated values
Schedule 1,unemploymentCompAmt,Part I Line 7,Unemployment compensation (Unemployment compensation (taxpayer)),direct user inputs
Schedule 1,netOperatingLossDeductionAmt,Part I Line 8,Net operating loss (NOL deduction (income tax)),indirect user inputs
Schedule 1,gamblingReportableWinningAmt,Part I Line 8b,Gambling Income,direct user inputs
Schedule 1,debtCancellationAmt,Part I Line 8c,Cancellation of debt,direct user inputs
Schedule 1,totArcherMSAMedcrLTCAmt,Part I Line 8e (Form 8853),Income from Form 8853,indirect user inputs
Schedule 1,totalIncomeExclusionAmt,Part I Line 8e,Foreign earned income exclusion from Form 2555 (Foreign earned income exclusion),indirect user inputs
Schedule 1,totHSADistriHDHPAmt,Part I Line 8f (Form 8889),Taxable HSA Distribution. Income from Form 8889,indirect user inputs
Schedule 1,alaskaPermanentFundDivAmt,Part I Line 8g,Alaska Permanent Fund dividends,direct user inputs
Schedule 1,juryDutyPayAmt,Part I Line 8h,Jury duty pay,direct user inputs
Schedule 1,prizesAwardsAmt,Part I Line 8i,Prizes and awards,direct user inputs
Schedule 1,activityNotForProfitIncmAmt,Part I Line 8j (activity not engaged in for profit),Activity not engaged in for profit income,direct user inputs
Schedule 1,stockOptionsAmt,Part I Line 8k,Stock options,direct user inputs
Schedule 1,rentalIncomePersonalPropAmt,Part I Line 8l (rental of personal property),Income from the rental of personal property,direct user inputs
Schedule 1,olympicParalympicMedalUSOCAmt,Part I Line 8m,Olympic and Paralympic medals and USOC prize money,direct user inputs
Schedule 1,section951aInclusionAmt,Part I Line 8n (section 951(a) inclusion),Section 951-a inclusion,indirect user inputs
Schedule 1,section951AaInclusionAmt,Part I Line 8o (section 951A(a) inclusion),Section 951A-a inclusion,indirect user inputs
Schedule 1,taxableABLEDistributionsAmt,Part I Line 8p (ABLE account),Taxable distributions from an ABLE account,direct user inputs
Schedule 1,nontxMedicaidWaiverPymtAmt,Part I Line 8q (Medicaid waiver nontaxable portion),Nontaxable amount of Medicaid waiver payments,direct user inputs
Schedule 1,grantsOrScholarshipsAmt,Part I Line 8r (scholarships/fellowships),Scholarship and fellowship grants,direct user inputs
Schedule 1,excessBusinessLossAmt,Part I Line 8s,Section 461-l excess business loss adjustment (Excess business loss (461(l))),indirect user inputs
Schedule 1,recvd99KErrorOrPersonalLossAmt,Part I Line 8t (1099-K / similar; see instructions),1099K Error reported or personal loss amount,direct user inputs
Schedule 1,certainPenalInstnWagesAmt,Part I Line 8u (wages while incarcerated),Wages earned while incarcerated,direct user inputs
Schedule 1,digitalAssetAsOrdinaryIncomeAmt,Part I Line 8v (digital assets),Digital Assets received as ordinary income,direct user inputs
Schedule 1,nonqlfyDeferredCompensationAmt,Part I Line 8z,Pension or annuity from a nonqualifed deferred compensation plan (Nonqualified deferred comp pension taxable),direct user inputs
Schedule 1,otherIncomeTotalAmt,Part I Line 8z (other income - statement),Total Other income catch-all,direct user inputs
Schedule 1,totalOtherIncomeAmt,Part I Line 9 - total other income (8a - 8z),Total Other Income,calculated values
Schedule 1,educatorExpensesAmt,Part II Line 10,Educator expenses (Educator expenses (taxpayer only)),direct user inputs
Schedule 1,totalAdditionalIncomeAmt,Part I Line 10 - total additional income (to Form 1040),Total Additional Income Amount,calculated values
Schedule 1,busExpnsReservistsAndOthersAmt,Part II Line 11,"Certain business expenses of reservists, performing artists, and fee-basis (Business expenses reservists/performers (2106))",direct user inputs
Schedule 1,healthSavingsAccountDedAmt,Part II Line 13,Health savings account deduction (HSA deduction (taxpayer)),direct user inputs
Schedule 1,deductibleSelfEmploymentTaxAmt,Part II Line 14,Deductible part of self-employment tax (Deductible part of SE tax (not mapped; othAdj is ITA-calculated)),calculated values
Schedule 1,movingExpenseAmt,Part II Line 14 (Armed Forces),Moving expenses for members of the Armed Forces,direct user inputs
Schedule 1,selfEmpldSepSimpleQlfyPlansAmt,Part II Line 15,"Self-employed SEP, SIMPLE, and qualified plans (SEP/SIMPLE qualified plans (taxpayer))",direct user inputs
Schedule 1,selfEmpldHealthInsDedAmt,Part II Line 16,Self-employed health insurance deduction (Self-employed health insurance),direct user inputs
Schedule 1,pnltyOnErlyWthdrwOfSavingsAmt,Part II Line 18 (early withdrawal penalty),Penalty on early withdrawal of savings,direct user inputs
Schedule 1,totalAlimonyPaidAmt,Part II Line 18a,Alimony paid (Alimony paid (taxpayer only)),direct user inputs
Schedule 1,divorceOrSeparationAgreementDtPaid,Part II Line 18b/c - date of agreement (alimony paid),Date of divorce,direct user inputs
Schedule 1,recipientSSN,Part II Line 18b - recipient SSN (alimony),Recipients SSN,direct user inputs
Schedule 1,iraDeductionAmt,Part II Line 20,IRA deduction Amount (IRA deduction (taxpayer only)),direct user inputs
Schedule 1,studentLoanInterestDedAmt,Part II Line 21,Student loan interest deduction,direct user inputs
Schedule 1,archerMSADeductionAmt,Part II Line 22,Archer MSA deduction Amount,direct user inputs
Schedule 1,juryDutyPayDeductionAmt,Part II Line 23,Jury duty pay,direct user inputs
Schedule 1,repaymentSuppUnemplBnftDedAmt,Part II Line 24,Repayment of supplemental unemployment benefits under the Trade Act of 1974 (Repayment supplemental unemployment benefits),direct user inputs
Schedule 1,rntlIncmPrsnlPropExpnssDedAmt,Part II Line 24a,Deductible expenses related to income reported,direct user inputs
Schedule 1,olympcPrlympcMedalUSOCDedAmt,Part II Line 24b,Nontaxable amount of the value of Olympic and Paralympic medals,direct user inputs
Schedule 1,rforAmortzExpnssDedAmt,Part II Line 24c,Reforestation amortization and expenses,direct user inputs
Schedule 1,sect501c18DContriDedAmt,Part II Line 24e,Contributions to section 501c 18D pension plan,direct user inputs
Schedule 1,section403bContriDedAmt,Part II Line 24f,Contributions by certain chaplains to section 403b plans,direct user inputs
Schedule 1,attyFeesCrtCostsDedAmt,Part II Line 24g,Attorney fees and court costs for actions involving certain unlawful discrimination claims,direct user inputs
Schedule 1,attyFeesCrtCostsPdDedAmt,Part II Line 24h,Attorney fees and court costs you paid in connection with an award from the IRS for information,direct user inputs
Schedule 1,housingDeductionAmt,Part II Line 24i (Form 2555),Housing deduction from Form 2555,direct user inputs
Schedule 1,section67eExcessDeductionAmt,Part II Line 24j (section 67(e)),Excess deductions of section 67e expenses,direct user inputs
Schedule 1,otherAdjustmentsTotalAmt,Part II Line 24z - other adjustments (detail),Other Adjustment Subtotal,calculated values
Schedule 1,totalOtherAdjustmentsAmt,Part II Line 25 - total other adjustments,Total other adjustments. Add lines 24a through 24z,calculated values
Schedule 1,totalAdjustmentsAmt,Part II Line 26 - total adjustments (to Form 1040),Total adjustments040Schedule1Type',calculated values
Schedule 1,netFarmProfitLossAmt,Line 34,Farm income or loss (Net farm profit or loss),calculated values
Schedule 1,ssn,Header - SSN,SSN,direct user inputs
Schedule 1,taxYear,Header - tax year,Tax Year,direct user inputs
Schedule 2,excessivePayments4255Amt,Part I Line 1 (Form 4255),box 1E Excessive Payments Form4255 Amount,indirect user inputs
Schedule 2,excessivePaymentsLine1A,Part I Line 1 (Form 4255 excessive payment),box 1E Excessive Payments Line 1A Ind,indirect user inputs
Schedule 2,excessivePaymentsLine1C,Part I Line 1 (Form 4255 excessive payment),box 1E Excessive Payments Line 1C Ind,indirect user inputs
Schedule 2,excessivePaymentsLine1D,Part I Line 1 (Form 4255 excessive payment),box 1E Excessive Payments Line 1D Ind,indirect user inputs
Schedule 2,excessivePaymentsLine2A,Part I Line 1 (Form 4255 excessive payment),box 1E Excessive Payments Line 2A Ind,indirect user inputs
Schedule 2,otherAdditionsToTaxGrp,Part I Line 1 - other additional taxes (detail rows),Other Additions To Tax,direct user inputs
Schedule 2,twentyPercentEPLine1A,Part I Line 1 (20% excessive payment),box 1F 20 Percent EP Form4255 Line 1A Ind,indirect user inputs
Schedule 2,twentyPercentEPLine1C,Part I Line 1 (20% excessive payment),box 1F 20 Percent EP Form4255 Line 1C Ind,indirect user inputs
Schedule 2,twentyPercentEPLine1D,Part I Line 1 (20% excessive payment),box 1F 20 Percent EP Form4255 Line 1D Ind,indirect user inputs
Schedule 2,twentyPercentEPLine2A,Part I Line 1 (20% excessive payment),box 1F 20 Percent EP Form4255 Line 2A Ind,indirect user inputs
Schedule 2,twentyPercentExcessivePayments4255Amt,Part I Line 1 (20% Form 4255),box 1F 20 Percent EP Form4255 Amount,indirect user inputs
Schedule 2,premiumTaxCreditTaxLiabAmt,Line 1a,Excess advance premium tax credit repayment (Other Taxes - Premium Tax Credit Repayment),indirect user inputs
Schedule 2,newCleanVehicleRepaymentAmt,Line 1b,Repayment of new clean vehicle credits transferred to a registered dealer from Schedule A (Other Federal Taxes),indirect user inputs
Schedule 2,usedCleanVehicleRepaymentAmt,Line 1c,Repayment of previously owned clean vehicle credits transferred to a registered (Other Federal Taxes),indirect user inputs
Schedule 2,netEPERecaptureAmt,Line 1d,Recapture of net EPE from Form 4255 (Other Federal Taxes),indirect user inputs
Schedule 2,totalOtherAdditionsToTaxAmt,Line 1y,Other additions to tax subtotal (Other Federal Taxes),calculated values
Schedule 2,totalRecaptureOtherCreditsAmt,Part I Line 1y / other (recapture),Recapture Creds Amount,indirect user inputs
Schedule 2,alternativeMinimumTaxAmt,Line 2,Alternative minimum tax (Alternative Minimum Tax Summary),indirect user inputs
Schedule 2,totalAdditionsToTaxAmt,Part I Line 3 - total additional taxes (to Form 1040),1Z Add lines 1a through 1y,calculated values
Schedule 2,socSecMedicareTaxUnrptdTipAmt,Line 5,Social security and Medicare tax on unreported tip income (Other Federal Taxes),indirect user inputs
Schedule 2,uncollectedSocSecMedTaxAmt,Line 6,Uncollected social security and Medicare tax on wages (Other Federal Taxes),indirect user inputs
Schedule 2,selfEmploymentTaxAmt,Line 8,Self employment tax (Other Federal Taxes),calculated values
Schedule 2,taxOnIRAsAmt,Line 9,Additional tax on IRAs or other tax-favored accounts (Other Federal Taxes),indirect user inputs
Schedule 2,householdEmploymentTaxAmt,Line 10,Household Employment Taxes (Other Federal Taxes),indirect user inputs
Schedule 2,uncollSSMedcrRRTAGrpInsTxAmt,Line 13,Uncollected social security and Medicare or RRTA tax on tips or group-term life insurance from Form W-2 (Other Federal Taxes),direct user inputs
Schedule 2,firstTimeHmByrRepaymentAmt,Line 14,Repayment of First Time Homebuyer Credit (Other Federal Taxes),direct user inputs
Schedule 2,intTaxDueInstalSaleIncmAmt,Line 15,Interest on tax due on installment income from the sale residential lots and timeshares (Other Federal Taxes),indirect user inputs
Schedule 2,totalAMRRTTaxAmt,Line 16,Additional Medicare Tax (Other Federal Taxes),indirect user inputs
Schedule 2,indivNetInvstIncomeTaxAmt,Line 17,Net investment income tax (Other Federal Taxes),indirect user inputs
Schedule 2,sect72m5ExcessBenefitsTaxAmt,Part II (section 72(m)(5) excess benefits),Section 72(m)(5) excess benefits tax,indirect user inputs
Schedule 2,incmNonqlfyDefrdCompPlanAmt,Part II (section 409A income),Income you received from a non qualified deferred compensation plan that fails to meet the requirements of section 409A,indirect user inputs
Schedule 2,compNonqlfyDefrdCompPlanAmt,Part II (section 457A compensation),Compensation you received from a non qualified deferred compensation plan described in section 457A,indirect user inputs
Schedule 2,section965TaxInstallmentAmt,Part II (section 965 installment),Section 965 net tax liability installment from Form 965-A,indirect user inputs
Schedule 2,incomeNotUSBusinessTaxAmt,Part II (1040-NR connected income),Tax on non-effectively connected income for any part of the year you were a nonresident alien from Form 1040-NR,indirect user inputs
Schedule 2,totalAnyOtherTaxesAmt,Part II - total other taxes (before 1040),Any other taxes,calculated values
Schedule 2,epeRecaptureColumnLAmt,Part II (Form 4255 column (l)),"Box19 Recapture of net EPE from Form 4255, line 1d, column",indirect user inputs
Schedule 2,accruedInterestDueThisRetAmt,Part II (Form 8621 interest),"Any interest from Form 8621, line 24",indirect user inputs
Schedule 2,ssn,Header - SSN,SSN,direct user inputs
Schedule 2,taxYear,Header - tax year,Tax Year,direct user inputs
Schedule 2,archerMSAAddnlDistriTaxAmt,Part II (Archer MSA additional tax),Additional tax on Archer MSA distributions,indirect user inputs
Schedule 2,hdhpCoverageAddnlTaxAmt,Part II (HDHP additional tax),Additional tax on an HSA because you did not remain an eligible individual,indirect user inputs
Schedule 2,hsaDistriAddnlPercentTaxAmt,Part II (HSA additional tax),Additional tax on HSA distributions,indirect user inputs
Schedule 2,medicareMSAAddnlDistriTaxAmt,Part II (Medicare MSA additional tax),Additional tax on Medicare Advantage MSA distributions,indirect user inputs
Schedule 2,interestOnEachNetIncrInTaxAmt,Part II (PFIC interest),"Any interest from Form 8621, line 16f, relating to distributions from, and dispositions of, stock of a section 1291 fund",indirect user inputs
Schedule 2,partialTaxOnAccumDistriAmt,Part II (accumulation distribution),Tax on accumulation distribution of trusts,indirect user inputs
Schedule 2,recaptureChrtblContriDedAmt,Part II (charitable contribution recapture),Recapture of a charitable contribution deduction,indirect user inputs
Schedule 2,recaptureTaxAmt,Part II (credit recapture; see instructions),Recapture of low-income housing credit,indirect user inputs
Schedule 2,excessParachutePaymentAmt,Part II (excess parachute),Golden parachute payments,indirect user inputs
Schedule 2,insiderStockCompExciseTaxAmt,Part II (expatriated corporation excise),Excise tax on insider stock compensation from an expatriated corporation,indirect user inputs
Schedule 2,intDefrdTaxGainInstalSalesAmt,Part II (installment / deferred tax; see instructions),"Interest on the deferred tax on gain from installment sales with a sales price over $150,000",indirect user inputs
Schedule 2,lookBackIntSect167gOr460bAmt,Part II (look-back interest),Look-back interest under section 167(g) or 460(b) from Form 8697 or 8866,indirect user inputs
Schedule 2,mortgSbsdyRecaptureTaxAmt,Part II (mortgage subsidy recapture),"Recapture of federal mortgage subsidy, if you sold your home",indirect user inputs
Schedule 3,foreignTaxCreditAmt,Line 1,Foreign Tax Credit,indirect user inputs
Schedule 3,creditForChildAndDepdCareAmt,Line 2,Credit for Child and Dependent Care Expenses (Child and Dependent Care Credit),indirect user inputs
Schedule 3,reconciledPremiumTaxCreditAmt,Part II Line 2 (net premium tax credit),Net premium tax credit,indirect user inputs
Schedule 3,currentYearAllowableCreditAmt,Schedule 3,Credit to holders of tax credit bonds,indirect user inputs
Schedule 3,currentYrCreditsFrom8859Amt,Schedule 3,District of Columbia first-time homebuyer credit (DC first-time homebuyer (usOthCr; revert when UI fixed)),indirect user inputs
Schedule 3,educationCreditAmt,Line 3,Education Credits from Form 8863 (Education Credits),indirect user inputs
Schedule 3,qlfyElecMotorVehCrAmt,Schedule 3,Qualified electric vehicle credit (Qualified electric vehicle credit (usOthCr)),indirect user inputs
Schedule 3,qlfyElecMotorVehPersUseCrAmt,Schedule 3,Clean Vehicle Credit (Clean Vehicle Credit (personal use)),indirect user inputs
Schedule 3,requestForExtensionAmt,Part II Line 3 (amount paid with extension),Amount paid with request for extension to file,calculated values
Schedule 3,totRptgYrTxIncreaseDecreaseAmt,Schedule 3,Amount on Form 8978,indirect user inputs
Schedule 3,totalPersonalUsePartOfCrAmt,Schedule 3,Alternative fuel vehicle refueling property credit (Alternative fuel vehicle refueling (usOthCr)),indirect user inputs
Schedule 3,excessSocSecAndTier1RRTATaxAmt,Part II Line 4,Excess social security and tier 1 RRTA tax withheld,calculated values
Schedule 3,rtrSavingsContributionsCrAmt,Line 4,Retirement Savings Contributions Credit (Other Credits),indirect user inputs
Schedule 3,form2439Amt,Part II Line 5 (Form 2439 credit),Tax Paid By RIC Or REIT Amount Form 2439,indirect user inputs
Schedule 3,energyEfficientHomeCreditAmt,Line 5a (home improvement),Energy efficient home improvement credit (Energy efficient home improvement (iTAResidentialEnergyCredit)),indirect user inputs
Schedule 3,residentialEnergyCreditAmt,Line 5a,Residential clean energy credit (Residential Energy Credits),indirect user inputs
Schedule 3,otherCreditFrom3800,Line 5b,General business credit (General business credit (Form 3800 → usOthCr)),indirect user inputs
Schedule 3,otherCreditFrom8801,Line 6,Prior year minimum tax (Minimum Tax Credit),indirect user inputs
Schedule 3,otherCreditsAmt,Part I Line 6 (other nonrefundable credits),Nonrefund Credits Total,direct user inputs
Schedule 3,totalFuelTaxCreditAmt,Part II Line 6 (federal fuel tax credit),Credit for federal tax on fuels,calculated values
Schedule 3,creditForRepaymentOfTaxAmt,Part II Line 7 (repayment of tax),Cred:Repayment Earlier Yr,indirect user inputs
Schedule 3,totOthNonrefundableCreditsAmt,Line 7,Total other non refundable credits (Other Credits),calculated values
Schedule 3,electivePaymentElectionAmt,Part II Line 8 (elective payment election),Elective payment election amount,indirect user inputs
Schedule 3,totalNonrefundableCreditsAmt,Part I Line 8 (total nonrefundable credits),Total Nonrefundable Credits Amount,calculated values
Schedule 3,adoptionCreditAmt,Line 9,Adoption credit,indirect user inputs
Schedule 3,netSection965TaxLiabilityAmt,Part II Line 9 (section 965),Credit for repayment of amounts included in income from earlier years,indirect user inputs
Schedule 3,creditForElderlyOrDisabledAmt,Line 10,Credit for the elderly or disabled (Other Credits),indirect user inputs
Schedule 3,personalUsePartOfCreditAmt,Line 11,Alternative motor vehicle credit (Other Credits),indirect user inputs
Schedule 3,mortgageInterestCreditAmt,Line 12,Mortgage interest credit (DC and Mortgage Credit (usOthCr; revert when UI fixed)),indirect user inputs
Schedule 3,rfdblCrQlfySLFMLWagesAftrAmt,Part II Line 12 (sick/family leave credits),Sick/Family Leave Credits,indirect user inputs
Schedule 3,otherAmt,Part II Line 13 (other payments/refundable credits),Total other payments or refundable credits,calculated values
Schedule 3,otherPaymentsAmt,Part II Line 14,Subtotal,calculated values
Schedule 3,totalOtherPaymentsRfdblCrAmt,Part II Line 15 - total other payments and refundable credits,Total tax payments,calculated values
Schedule 3,ssn,Header - SSN,SSN,direct user inputs
Schedule 3,taxYear,Header - tax year,Tax Year,direct user inputs
Schedule A,medicalAndDentalExpensesAmt,Line 1,Medical and Dental Expenses (1),direct user inputs
Schedule A,taxReturnAGIAmt,Line 2 / worksheet - AGI from Form 1040,AGI Amount line2,calculated values
Schedule A,calculatedMedicalAllowanceAmt,Line 3 - medical expense floor (calculated),Medical Allowance (3),calculated values
Schedule A,totalMedicalAndDentalExpnssAmt,Line 4 - medical less floor,Total Medical and Dental (4),calculated values
Schedule A,marriedFilingAmt,Line 5 - MFS allocation (if applicable),Married filing seperately,calculated values
Schedule A,choiceStateAndLocalSalesTaxIncomeTax,Line 5a - state/local income tax vs. sales tax (see type),Choice State and Local Sales Tax Indicator or State and Local Income tax indicator,direct user inputs
Schedule A,stateAndLocalIncomeTaxInd,Line 5a,Income Taxes Box,direct user inputs
Schedule A,stateAndLocalSalesTaxInd,Line 5a,General Sales Taxes Box,direct user inputs
Schedule A,stateAndLocalTaxAmt,Line 5a,State and Local Income taxes or general sales tax,direct user inputs
Schedule A,realEstateTaxesAmt,Line 5b,Real Estate Taxes,direct user inputs
Schedule A,personalPropertyTaxesAmt,Line 5c,Personal property taxes,direct user inputs
Schedule A,otherTaxesAmt,Line 5d - other taxes (see instructions),Other taxes amount,direct user inputs
Schedule A,stateAndLocalTaxLimitationAmt,Line 5d - SALT limitation (if applicable),"enter smaller of 5d or $10,000",calculated values
Schedule A,totalStateAndLocalTaxAmt,Line 5e - total state and local taxes,Add lines 5a through 5c,calculated values
Schedule A,totalTaxesPaidAmt,Line 5e - total taxes paid,Total Allowable tax deduction,calculated values
Schedule A,rptHomeMortgIntAndPointsAmt,Line 8a,Mortgage Interest to Financial Institutions (8a),direct user inputs
Schedule A,form1098HomeMortgIntNotRptAmt,Line 8b,Total Indiv Mortgage Interest Amount (8b),direct user inputs
Schedule A,form1098PointsNotReportedAmt,Line 8c,Deductible Points (8c),direct user inputs
Schedule A,homeMortgNotUsedInd,Line 8d - not all mortgage proceeds used to buy/build/improve,Did not use all to buy/build/improve checkbox,direct user inputs
Schedule A,reservedAmt,Line 8d - reserved,Reserved for future use,direct user inputs
